Tail	Head	Capacity (veh/h)	Length (ft)	Free Flow Time (min)	B	Power 	Speed limit 	Toll 	Type	;
	1	2	25900.20064	6	6	0.15	4	0	0	1	;
	1	3	23403.47319	4	4	0.15	4	0	0	1	;
	1	4	22403.47319	4	4	0.15	4	0	0	1	;
	2	1	4918.180928	5	5	0.15	4	0	0	1	;
	2	3	4958.180928	5	5	0.15	4	0	0	1	;
	2	4	4458.180928	5	5	0.15	4	0	0	1	;
	3	1	17110.52372	4	4	0.15	4	0	0	1	;
	3	2	17782.7941	2	2	0.15	4	0	0	1	;
	3	4	4908.82673	6	6	0.15	4	0	0	1	;
	4	1	17782.7941	2	2	0.15	4	0	0	1	;
	4	2	4947.995469	4	4	0.15	4	0	0	1	;
	4	3	10000		5	5	0.15	4	0	0	1	;		
